MRP,SP,cat_url,description,img_url,product_url,title,
,23.8,https://www.jiomart.com/c/groceries/fruits-vegetables/herbs-seasonings/233,Add a dash of spice to your food with the much loved Green Chillies. These are added in most of the dishes if it needs to be spicy an delicious. It is rich in Antioxidants that provide protection from free radicals. It is packed with Vitamins and has zero Calories. Buy Green Chilli 200 g online now.,https://www.jiomart.com/images/product/420x420/590003533/chilli-green-200-gram-0-20200628.jpg,https://www.jiomart.com/p/groceries/chilli-green-200-gram/590003533,Chilli Green - 200 gram,
,8.8,https://www.jiomart.com/c/groceries/fruits-vegetables/herbs-seasonings/233,"Lemon comes from the Citrus family that is low on Calories and is highly nutritious. It is rich in Vitamic C that prevents Cancer, Diabetes, Heart diseases, controls Blood Pressure and enhances skin health. Apart from Vitamin C, Lemons are also rich in Thiamin, Folate, Fiber, Potassium and Calcium. Add it your diet to improve heart, liver, skin and eye health. Buy Lemon 100 g online now.",https://www.jiomart.com/images/product/420x420/590004153/lemon-100-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/lemon-100-g/590004153,Lemon - 100 g,
,24,https://www.jiomart.com/c/groceries/fruits-vegetables/herbs-seasonings/233,"Ginger has been used as a spice or as a medicine since ancient times. It is popular as a home remedy for stomach pain, nausea and other health issues. It is rich in Antioxidants that cures Arthritis, Inflammation, Diabetes and and Cancer. It also eases Cold and Flu. Application of Ginger juice on the scalp reduces Dandruff too. Buy Ginger Indian 200 g online now.",https://www.jiomart.com/images/product/420x420/590003531/ginger-indian-200-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/ginger-indian-200-g/590003531,Ginger Indian 200 g,
,41.6,https://www.jiomart.com/c/groceries/fruits-vegetables/herbs-seasonings/233,"Garlic is a popular herb that is also known for its medicinal properties. It is grown worldwide and belongs to the Onions, Leeks and Chives family. In Indian kitchens, it is often used as a spice for curries and other preparations. It is rich in Manganese, Vitamin B6, Vitamin C, Selenium and Fiber. Buy Garlic Indian 200 g online now.",https://www.jiomart.com/images/product/420x420/590003532/garlic-indian-200-g-0-20200628.jpg,https://www.jiomart.com/p/groceries/garlic-indian-200-g/590003532,Garlic Indian 200 g,
20,20,https://www.jiomart.com/c/groceries/fruits-vegetables/exotic-fruits-vegetables/243,"Lemongrass is widely used in food for flavouring. Its leaves are used for preparation of herbal teas. It relievs stress, pain, swelling, fever and improves levels of Sugar and Cholesterol. Buy Lemongrass 1 bunch online now.",https://www.jiomart.com/images/product/420x420/590003467/lemongrass-1-bunch-0-20200718.jpg,https://www.jiomart.com/p/groceries/lemongrass-1-bunch/590003467,Lemongrass 1 bunch,
,129,https://www.jiomart.com/c/groceries/fruits-vegetables/exotic-fruits-vegetables/243,"Also known as Chinese Gooseberries, Kiwi originates from China. It is often referred as a health fruit owing to its high Vitamin C content. It improves bowel health, boosts wound healing and reduces blood pressure. It is also low on calories; so you can gorge on some extra slices without worrying about the extra fat. Buy Kiwi Imported 5 pcs online now.",https://www.jiomart.com/images/product/420x420/590001743/imported-kiwi-5-pcs-0-20200711.jpg,https://www.jiomart.com/p/groceries/imported-kiwi-5-pcs/590001743,Imported Kiwi 5 pcs,
65,63,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,,https://www.jiomart.com/images/product/420x420/590032629/amul-masti-dahi-1-kg-pouch-0-20200814.jpg,https://www.jiomart.com/p/groceries/amul-masti-dahi-1-kg-pouch/590032629,Amul Masti Dahi 1 kg (Pouch),
85,78,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Make your dishes extra special with Gowardhan Fresh Paneer, and bite into succulent bites of fresh, tender and creamy paneer. Popularly known as Indian cottage cheese, Gowardhan Fresh Paneer gives a delicious flavour profile to the culinary preparation, and also in an immense source of protein. Go ahead and buy this product online today!",https://www.jiomart.com/images/product/420x420/490863551/gowardhan-fresh-paneer-200-g-0-20200722.jpg,https://www.jiomart.com/p/groceries/gowardhan-fresh-paneer-200-g/490863551,Gowardhan Fresh Paneer 200 g (Pouch),
245,227.85,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"For all your cooking needs, look no further than Amul Pure Ghee. With a long shelf-life and rich aroma, this is an ideal product for your kitchen and serves as a good Vitamin A source. It is clarified butter in its purest form and you can use it for a variety of purposes. Buy Amul Pure Ghee online now!",https://www.jiomart.com/images/product/420x420/490001520/amul-pure-ghee-500-ml-pouch-0-20200901.jpg,https://www.jiomart.com/p/groceries/amul-pure-ghee-500-ml-pouch/490001520,Amul Pure Ghee 500 ml (Pouch),
500,465,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,"Cow Ghee is excellent for cooking and stir-frying. Ghee can be consumed for better digestion. It stimulates muscle movements, strengthens the sense organs, nourishes the skin and improves complexion. Buy Amul Cow Ghee online now!",https://www.jiomart.com/images/product/420x420/491135471/amul-cow-ghee-1-l-pouch-0-20200908.jpg,https://www.jiomart.com/p/groceries/amul-cow-ghee-1-l-pouch/491135471,Amul Cow Ghee 1 L (Pouch),
